id,name,type,description,effects,ingredients,price,sales_data
1,Valerian Root Infusion,snack,A soothing herbal blend designed for relaxation.,"['mental clarity', 'energy boost']","['Valerian Root', 'Peppermint', 'Hibiscus', 'Green Tea']",48.43,"{'units_sold': 140, 'last_month_revenue': 3047.9}"
2,Milk Thistle Infusion,supplement,A revitalizing drink for energy and focus.,"['immune boost', 'antioxidant-rich']","['Milk Thistle', 'Ashwagandha']",43.19,"{'units_sold': 74, 'last_month_revenue': 3383.85}"
3,Hibiscus Infusion,beverage,A digestive aid made from natural herbs.,"['heart health', 'circulation']","['Hibiscus', 'Elderberry', 'Ashwagandha']",35.27,"{'units_sold': 292, 'last_month_revenue': 1875.35}"
4,Lemon Balm Infusion,snack,A soothing herbal blend designed for relaxation.,"['relaxation', 'stress relief']","['Lemon Balm', 'Thyme']",28.14,"{'units_sold': 212, 'last_month_revenue': 2615.81}"
5,Ginseng Infusion,herbal extract,A powerful supplement for immunity boost.,"['digestive support', 'soothing']","['Ginseng', 'Sage', 'Ashwagandha']",36.87,"{'units_sold': 249, 'last_month_revenue': 3990.66}"
6,Sage Infusion,herbal extract,A digestive aid made from natural herbs.,"['mental clarity', 'energy boost']","['Sage', 'Turmeric']",22.4,"{'units_sold': 290, 'last_month_revenue': 2755.41}"
7,Green Tea Infusion,snack,A digestive aid made from natural herbs.,"['heart health', 'circulation']","['Green Tea', 'Ginger']",45.9,"{'units_sold': 189, 'last_month_revenue': 2964.86}"
8,Thyme Infusion,herbal extract,A natural remedy for stress relief and relaxation.,"['immune boost', 'antioxidant-rich']","['Thyme', 'Sage', 'Peppermint']",14.92,"{'units_sold': 89, 'last_month_revenue': 3718.93}"
9,Elderberry Infusion,beverage,A natural remedy for stress relief and relaxation.,"['relaxation', 'stress relief']","['Elderberry', 'Ginseng', 'Licorice Root']",27.02,"{'units_sold': 213, 'last_month_revenue': 2306.13}"
10,Holy Basil Infusion,supplement,A detoxifying herbal infusion with antioxidants.,"['cold relief', 'immune support']","['Holy Basil', 'Turmeric']",36.44,"{'units_sold': 188, 'last_month_revenue': 4436.49}"
11,Turmeric Infusion,herbal extract,A detoxifying herbal infusion with antioxidants.,"['metabolism boost', 'weight management']","['Turmeric', 'Ginseng']",15.01,"{'units_sold': 217, 'last_month_revenue': 3026.58}"
12,Rosemary Infusion,beverage,A revitalizing drink for energy and focus.,"['relaxation', 'stress relief']","['Rosemary', 'Licorice Root', 'Green Tea', 'Echinacea']",36.66,"{'units_sold': 88, 'last_month_revenue': 4079.19}"
13,Echinacea Infusion,supplement,A powerful supplement for immunity boost.,"['mental clarity', 'energy boost']","['Echinacea', 'Turmeric', 'Sage', 'Cinnamon']",48.02,"{'units_sold': 250, 'last_month_revenue': 1828.95}"
14,Peppermint Infusion,supplement,A revitalizing drink for energy and focus.,"['immune boost', 'antioxidant-rich']","['Peppermint', 'Valerian Root']",33.6,"{'units_sold': 86, 'last_month_revenue': 2308.65}"
